Source	Target	Notes
'di snyed	so much; so many; how much; gain; profit	
'di tsam gyis	by just this; through just this{BJ 40.5}	
'di tsho	these	
'di'i	of this	
'di'i gong na	higher than this{BJ 29.4}	
'ding	to spread	
'dir	here	
'dod	to wish; to desire; to wish, want | accept; assert; wish; desire; consider	
'dod 'jo'i ba	wish-granting cow	
'dod chags	passion, desire, lust | [desire-attachment]; desire	
'dod chags bral ba	free from desire	
'dod chags chen po	great desire	
'dod chags dang bral ba	free from desire	
'dod chags dang bral ba med pa	not free from desire	
'dod chags dang bral ba'i sa	ground of freedom from desire	
'dod chags dang bral bar 'gyur ba	become free from desire	
'dod chags dang bral bar bgyi ba	become/make free from desire	
'dod chags dang bral bar byed	become free from desire	
'dod chags dang ma bral ba	not free from desire	
'dod chags dang ma rig pa	desire and ignorance	
'dod chags kyi kun sbyor	thorough enwrapment of desire	
'dod chags la sogs pa	desire and so forth	
'dod chags mang ba	much desire	
'dod chags med pa	non-desire	
'dod chags pa med cing	non-desire	
'dod chags par byed	desire	
'dod chags spyod pa	practice desire	
'dod chags spyod pa'i sgrib pa	the obstructions of practicing desire	
'dod chung	little desire	
'dod dgu	desire	
'dod dgu thob pa	obtain what one desires	
'dod khams	desire realm	
'dod khams kyi lha	god of the Desire Realm	
'dod khams kyi yon tan	qualities of the desire realm	
'dod la ma chags	not cut off from desire	
'dod ldan	desirous	
'dod na	if [that] is accepted ...	
'dod pa	passion | desire; wish; assert; assertions; accept; desire; consider	
'dod pa bskyed	produce desire	
'dod pa bskyed pa	produce desire; desire	
'dod pa can	desirous	
'dod pa chung	little desire	
'dod pa chung ba	having few desires	
'dod pa dang gzugs dang gzugs med pa na spyod pa	deeds in the desire, formm and formless [realms]	
'dod pa gzhan gyi dbang nyid	other-powered desire	
'dod pa ji lta bar	as one desires; according to one's wishes	
'dod pa la 'dun pa	aspiration to the attributes of the desire realm; aspiration to attributes	
'dod pa la log par g.yem par byed	commit adultery (?)	
'dod pa la log par g.yem par mi byed	not commit adultery (?)	
'dod pa la yongs su longs spyod pa	resources with respect to desire	
'dod pa ma mchis pa	non-desire; without desire	
'dod pa med	non-desire; without desire	
'dod pa na spyod pa	deeds in the desire [realm]	
'dod pa nyung	little desire	
'dod pa nyung pa	little desire	
'dod pa yid la byed pa	mental contemplation of desire	
'dod pa'i 'bras bu don mi gnyer	not seek the result of desire	
'dod pa'i 'dod chags	desire	
'dod pa'i 'jig lta	view of the transitory collection [of I and mine] within the desire	
'dod pa'i 'jig rten pa'i nyon mongs	worldly desire realm afflictions{PGP 69}	
'dod pa'i khams	desire realm	
'dod pa'i las can	having the karma of desire; having desirous actions	
'dod pa'i rgyu nyid	cause of desire	
'dod par bya	desire	
'dod par bya ba	desire; desirable	
'dod par skye	produce desire	
'dod pas log par g.yem pa	commit adultery (?); sexual misconduct	
'dod pas log par spyod pa	wrongly engage in desire	
'dod rgyal	arbitrarily{N}	
'dod rgyal du skye ba	"arbitrary production; capricious production (literally """"production in"	
'dod sems	desire mind{Gön-chok}; Desire Realm mind	
'dod sems dgu pa	ninth mind of the Desire Realm	
'dod sems dgu pa'i ting nge 'dzin	meditative stabilization of the ninth mind of the Desire Realm	
'dod yon	desired goods | attributes of the desire realm	
'dod yon la chags pa	desire for attributes of the desire realm	
'dogs	to bind, to attach | impute; designate; to hang; designation{BJ 39.7}; imputor [i.e. the	
'dogs byed kyi tshad ma	valid cognition that imputes	
'dogs pa	impute; designate; to hang; designation{BJ 39.7}; imputor [i.e. the	
'dogs pa po'i tha snyad	conventions that are the imputers	
'dogs pa'i gzhi	basis of imputation{BJ 42.6}	
'dogs pa'i tha snyad	verbal conventions that designate{BJ 21.7}	
'dogs pa'i tshig	verbal designation; imputational words	
'dogs par byed	impute; designate; hang	
'dogs par mdzad do	impute; designate; hang	
'dogs par mi byed	not impute; not designate	
'dom	six feet [linear measure]	
'doms	(1) advise; counsel (2) male genetalia; genitalia	
'doms pa	advise; counsel	
'don	to utter; to obtain; to put, to place out | cause to come out; expel; recite; take out	
'don pa	cause to come out; expel; recite; take out	
'don par 'dod pa	desire to expel	
'don par yang byed	recite	
'dong	to go	
'dor	discard; reject; cast out; forsake; cancel	
'dor ba	discard; cast out; forsake; reject; cancel	
'dor ba med pa	non-renunciation; not abandon; not cast out; not forsake	
'dor ba med pa stong pa nyid	empty of non-rejection	
'dor bar 'gyur	discard; reject; cast out; forsake	
'dor bar bgyid pa	discard; reject; cast out; forsake	
'dor len	the reliance on discarding [non-virtues]	
'dor len brten pa	the reliance on discarding [non-virtues] and assuming [virtues]	
'dra	to be similar, to be like; to seem | similar; same; similarity; likeness; like; similar; image	
'dra 'dra zhig 'dug	[like-like-a-is]; seems to be; appears to be	
'dra ba	similar; same; similarity; likeness; like; similar; image	
'dra bar	similar; similarly; like	
'dra bar 'gyur	become similar; similar; same; similarity; likeness; like; image	
'dre	to be mixed with | [flesh eating] demon(s)	
'dre pa	contamination	
'dren	to pull; to lead | induce; lead; draw; connect; cite; quote; pull; conduct	
'dren pa	induce; lead; draw; connect; cite; quote; pull; conduct	
'dren pa'i thabs	method/technique of leading	
'dres	to be mixed with	
'dres ma	mixed; mixture; various	
'dres mar ma gyur pa	unmixed	
'dres pa	mixture | mixed; shared	
'dres par 'gyur	become mixed; mix	
'dres rung	suitable to be mixed	
'dri	to ask	
'dri ba	ask	
'dri ba'i gzhi	basis of questioning; basis for asking	
'dri bar bya	ask	
'drid	fornicate	
'dril	to wrap up; to summarise	
'dril pa	verb: to be involved noun: involvement	
'dris	be well acquainted	
'dris ba	ask	
'dris byed	acquaintance (?); ask (?)	
'dris pa	be well acquainted	
'dris pa shes pa	cognition of acquaintance	
'dris pa ye shes	exalted wisdom of acquaintance	
'dris par byed la	become acquainted	
'du	to gather, to come together | collect; assemble	
'du 'bral med	non-fusable and inseparabale	
'du ba	collect; assemble	
'du ba med	not collected; not assembled	
'du bar 'gyur ba	assemble; collect	
'du byed	[assemble-make]; compositional factor; compositional phenomenon	
'du byed btang snyoms	desisting from application	
'du byed kyi las	compositional action; compositional factor	
'du byed kyi mtshan ma	sign of a compositional factor; sign of a compositional phenomenon	
'du byed kyi sdug bsngal	suffering of conditioning	
'du byed med pa	uncompounded; {T} non-compositional	
'du byed pa	application; overapplication; antidote	
'du byed rnams 'jug pa mi rung ba'i phyir	because it is not suitable to engage in compositional phenomenon	
'du byed rnams la skye ba dang 'jig pa	production and disintegration with respect to compositional	
'du byed rnams mi rtag pa nyid	compositional phenomenon are impermanent	
'du byed sna tshogs rnam pa du ma	various aspects of compositional phenomenon	
'du byed thams cad ni mi rtag pa'o	all compositional phenomenon are impermanent	
'du byed thams cad ni sdug bsngal ba'o	all compositional phenomenon are suffering	
'du ma byed	non-compositional phenomenon; uncompounded{S}; non-application	
'du mdzad	compositional factor; compose; apply	
'du mi byed	non-application; uncompounded; {T} non-compositional phenomenon	
'du mi byed pa	non-application; uncompounded	
'du shes	discrimination	
'du shes can	thinking, lit. having the faculty of thinking	
'du shes me pa	non-discrimination	
'du shes med 'du shes med min	without discrimination and without non-discrimination	
'du shes med 'du shes med min skye mched	sphere of neither discrimination nor non-discrimination	
'du shes med pa	non-discrimination	
'du shes med pa yin	non-discrimination; there is no discrimination	
'du shes med pa'i sems can	god of no discrimination	
'du shes med pa'i snyoms 'jug	absorption without discrimination	
'dud	homage	
'dud pa	homage	
'dug	to lie (down), to sit (down), to be there; to live; to be | is; are; there is; a verb meaning to exist in a place	
'dug pa	is; are; verb of existence	
'dug stangs	manner of sitting; posture {gz}	
'dul	to tame; discipline; subdue	
'dul ba	discipline; monastic discipline; to be tamed; to be trained	
'dul ba las byung ba dben pa'i rang bzhin	nature which is isolated from the need for discipline	
'dul ba mdor bsdus	condensed discipline	
'dul ba med pa	undisciplined; non-discipline	
'dul ba nyid pa	discipline	
'dul ba'i dbang	power of discipline	
'dul ba'i dbang gis	through the force of taming	
'dul ba'i don du	for the sake of disciplining	
'dul ba'i mdo	Guṇaprabha's Aphorisms on Discipline	
'dul ba'i skye bo	beings to be tamed; beings to be trained	
'dul ba'i thabs kyi khams	realm of the method of discipline	
'dul bar byed	discipline	
'dul bya	trainee; disciple	
'dun	aspiration; aspire	
'dun byed	aspiration; aspire	
'dun dang bcas pa	having aspiration; together with aspiration	
'dun la brten pa	based on aspiration	
'dun ma	wish; goal; aim	
'dun pa	aspiration	
'dun pa dang ldan pa	having aspiration	
'dun pa dang mtshungs par ldan pa	endowed with aspiration	
'dun pa dang rtson 'grus dang sems dang dpyod pa'i ting nge 'dzin	meditative stabilization of aspiration, effort, mind, and analysis	
'dun pa nyams pa	abandon aspiration	
'dun pa'i rtsa ba las byung ba	arisen from the root of aspiration	
'dun par byas pa	aspire	
'dun par byed pa	aspire	
'dus	to gather, to come together | collect; assemble; included; be assembled; aggregate	
'dus bya	caused phenomenon; caused; compounded	
'dus byas	[assembled-made]; caused phenomenon; product; compounded	
'dus byas dang 'dus ma byas nyid	compounded phenomena and uncompounded phenomena {T}	
'dus byas kyi chos	compositional phenomena	
'dus byas kyi mtshan nyid	character of compounded phenomenon	
'dus byas kyi phung po	compounded aggregates	
'dus byas mi rtag pa nyid	impermanence of compounded phenomenon	
'dus byas thams cad mi rtag pa	all compounded phenomenon are impermanent	
'dus byas thams cad ni rgyu las skye zhing yod do	all compounded phenomenon exist arisen from causes	
'dus byas thams cad skad cig ma	all compounded phenomenon are momentary	
'dus byas tsam	mere compounded phenomenon	
'dus gyur pa	collect; assemble; included; be assembled; aggregate	
'dus lba	complex goiter	
