Source	Target	Notes
ngo tsha	shame; shameful | shame; modesty	
ngo tsha ba	shame	
ngo tsha med pa	non-shame	
ngo tsha shes pa	shame	
ngogs	port; entrance; ford; bank	
ngom	to be sated (by)	
ngoms	to be sated (by)	
ngoms pa	satisfaction; be satisfied; satiation	
ngoms pa med pa	non-satisfaction; not satiated	
ngoms shes pa	knowing satisfaction; knowing satiation	
ngor	with respect to; in the face of; to; for	
ngos	I | side; surface	
ngos 'dzin	identify; identification; point out	
ngos 'dzin byed pa	identify; point out	
ngos bzung ba	identification; identify	
ngos gzung	identification; identify	
ngos mnyam pa	even-surfaced	
ngos nas	[side-from]; from the side of; from the point of view of; by way of	
ngos skal	corresponding	
ngu	to weep, to cry	
ngu 'bod	cry; Crying [Hell]	
ngur pa	duck	
ngur smrig	yellowish red | saffron	
ngus	to weep, to cry	
ni	[a separative particle; non-case particle sets off subject or topic]	
ni gu ma	Niguma [p.n.]	
no	[particle indicating the end of a statement]	
non	to feel overcome	
nongs	death	
nor	wealth, goods; cattle | (1) wealth; riches. to err; mistake; error	
nor ba	error; mistake	
nor ba tsam	mere error	
nor bdag	wealthy man	
nor bdag po	wealth's owner	
nor bu	jewel	
nor bu chu shel	water crystal jewel	
nor bu me shes	fire crystal jewel	
nor bu rin chen	precious jewel	
nor bu rin po che	precious jewel	
nor can	wealthy; wealthy one	
nor ldan	wealthy	
nor med	impoverished	
nor med pa	poor	
nor slongs	"source of wealth, possessions, lit. ""wealth-raising"""	
nor yod	wealthy	
nor yongs su gtang bar 'dod la	wishing to completely give wealth	
nos	obtain; receive {ri sbug sprul sku blo gsal bstan skyong's rdo rje	
nu	breasts; teat	
nu bo	younger brother	
nu ma	breasts; teat	
nub	night | disappearance; west	
nub ba lang spyod	the western continent of Godānīya	
nub kyi ri bo pa	Aparaśailas [p.n.]	
nub mo	evening	
nub pa	disappearance; west	
nub par 'gyur	disappear; vanish	
nub phyogs	western direction; west	
nus	to be able, suitable, capable; can | ability; able; potency; power; capacity	
nus khyad par can	a special capacity	
nus ma yin	unable; powerless	
nus pa	ability; potency; power; capacity	
nus pa dang ldan pa	possessing the capacity; one who possesses a capacity{Lati}	
nya	fish	
nya TI kA	"Dispeller of Mental Darkness Commentary [on Maitreya's """"Ornament"	
nya Tik	"Dispeller of Mental Darkness Commentary [on Maitreya's """"Ornament"	
nya dang nyung ma bsres pa'o	to [absurdly] confuse fish with turnnips	
nyag	lump	
nyal	to lie down | lie down; sleep	
nyal ba	lie down; sleep	
nyal khri	bed	
nyal nyil	unclean	
nyam chung	to be weak	
nyam chung ba	little strength; weak	
nyam nga ba	fear	
nyam nga ba med pa; sgra nyam nga ba med pa	fearless sound	
nyam nga ba'i phyogs	direction of fear	
nyam thag	destitution; without resources; destitute; stricken; exhausted	
nyam thag pa	destitution; without resources; destitute; stricken; exhausted	
nyams	to be/get hurt | a feeling; an experience; a vision; spoiled; defiled; corrupted	
nyams blang	practice	
nyams blangs	practice	
nyams chung	having little strength; weak	
nyams chung ba	having little strength; weak	
nyams dga' ba	very pleasant; pleasure; happiness; delight {VS 2.5}	
nyams khrid	practical instruction	
nyams len	practice	
nyams longs	practice	
nyams ma med pa	not non-degenerated; not undefiled	
nyams pa	degenerated; spoiled; defiled; corrupted; deterioration	
nyams pa cha mthun	concordant with degeneration	
nyams pa med	non-degenetated; unspoiled; undefiled; uncorrupted	
nyams pa med pa	non-degenetated; unspoiled; undefiled; uncorrupted	
nyams pa med pa ting nge 'dzin	non-degenerated meditative stabilization	
nyams pa'i rgyu	cause of degeneration/deterioration	
nyams par 'gyur	become degenerate; deteriorate	
nyams par 'gyur ba	become degenerate; deteriorate	
nyams par rnam par spangs pa	abandoning degeneration	
nyams smad	suppression	
nyams snang	spiritual appearance [i.e. appearance of a disembodied being]{Gönchok}	
nyams su blang	practice	
nyams su blang ba	practice	
nyams su blang bya	object of practice	
nyams su blangs pa	practice	
nyams su len pa	practice	
nyams su longs	practice	
nyams su myong	experience	
nyams su myong ba	experience	
nyams su myong bar byed	experience	
nyams su myong bar byed pa	experience	
nyams thag	to be exhausted | stricken; exhausted	
nyan	to listen, to hear | hear; listen	
nyan 'dod pa	desire to hear	
nyan bya	object of hearing	
nyan pa	to hear	
nyan pa po	hearer; one who hears	
nyan rang	Hearers and Solitary Realizers	
nyan sa	Asaṅga's Hearer Grounds	
nyan thos	Hearer	
nyan thos dang rang sangs rgyas	Hearers and Solitary Realizers {T}	
nyan thos dgra bcom pa dbang rnon mkhyen pa	exalted knower of a Hearer Foe Destroyer with sharp faculties	
nyan thos dgra bcom pa dbang rtul kyi mkhyen pa	exalted knower of a Hearer Foe Destroyer with dull faculties	
nyan thos dgra bcom pa'i rgyud kyi mkhyen pa	exalted knower in the continuum of a Hearer Foe Destroyer	
nyan thos kyi 'phags pa	Hearer Superior	
nyan thos kyi brtson 'grus pa	Hearer effort	
nyan thos kyi byang chub 'am rang sangs rgyas kyi byang chub	Hearer's enlightenment or a Solitary Realizer's enlightenment {T}	
nyan thos kyi chos mngon rtogs	Hearer's clear realizer of doctrine	
nyan thos kyi dad pa'i sa	Hearer's ground of belief	
nyan thos kyi dge 'dun	community of Hearers	
nyan thos kyi dgra bcom	Hearer Foe Destroyer	
nyan thos kyi lam gyi bgrod pa mthar phyin pa'i mngon rtogs	a clear realizer of one who has completed the progress of a Hearer's	
nyan thos kyi mi slob lam	Hearer's path of no more learning	
nyan thos kyi mthar phyin pa'i lam	Hearer's path of completion	
nyan thos kyi mthong lam	Hearer's path of seeing	
nyan thos kyi mthong lam bar chad med lam	uninterrupted path of a Hearer's path of seeing	
nyan thos kyi mthong lam mnyam bzhag ye shes	Hearer's exalted wisdom of meditative equipoise	
nyan thos kyi mthong lam rjes thob ye shes	Hearer's exalted wisdom of subsequent attainment of a path of seeing	
nyan thos kyi nges 'byed cha mthun	Hearer's partial concordance with definite discrimination	
nyan thos kyi rjes la mngon rtogs	Hearer's subsequent clear realizer	
nyan thos kyi rnal 'byor mngon sum	Hearer's yogic direct perceiver	
nyan thos kyi sa	Asaṅga's Hearer Grounds; grounds of hearers	
nyan thos kyi sbyor lam	Hearer's path of preparation	
nyan thos kyi sgom lam	Hearer path of meditation	
nyan thos kyi sgom lam bar chad med lam	uninterrupted path of a Hearer path of meditation	
nyan thos kyi sgom lam mnyam bzhag ye shes	exalted wisdom of meditative equipoise of a Hearer's path of	
nyan thos kyi thar pa cha mthun	Hearer's partial concordance with liberation	
nyan thos kyi theg pa	Hearer Vehicle	
nyan thos kyi theg pa la yang dag par zhugs pa	those engaged in the Hearer Vehicle	
nyan thos kyi tshogs lam	Hearer's path of accumulation	
nyan thos la sogs pa	Hearers and so forth	
nyan thos mthong lam pa'i mkhyen pa	exalted knower of a person on the Hearer path of seeing	
nyan thos sde pa	Hearer Sectarians	
nyan thos sgom lam pa'i rgyud kyi mkhyen pa	exalted knower in the continuum of a person on the Hearer path of	
nyan thos theg pa	Hearer Vehicle	
nye	to be near | near; dear; intimate	
nye 'khor	kindreds	
nye 'khor ba	neighboring (hell)	
nye 'khor ba'i dmyal ba	neighboring hell-being	
nye 'khor dmyal ba	near hell	
nye 'khor na	in the vicinity; in; near	
nye ba	near; dear; intimate	
nye ba'i nyon mongs	secondary affliction; secondary afflictive emotion	
nye ba'i nyon mongs pa	secondary affliction; secondary afflictive emotion	
nye ba'i nyon mongs pa'i glo bur ba	adventitious affliction/afflictive emotion	
nye bar 'jog pa	close setting	
nye bar 'jog par byed	close setting	
nye bar 'jug pa	close setting	
nye bar 'khor ba	in the vicinity; in; near	
nye bar 'tsho ba	livelihood; sustenance	
nye bar blang bya	that which is appropriated{N}	
nye bar brtag pa	spectator	
nye bar bsgrub	establish	
nye bar bsgrubs te	establish	
nye bar bstan par bgyi	demonstrate; indicate; teach	
nye bar bzhag pa	establishment	
nye bar dgod	set/state/establish/arrange/register/make a record/place [on throne]/put	
nye bar gtod	bring near; lead to; introduces; initiation ceremony for the three (twiceborn)	
nye bar gzhag pa	establishment	
nye bar len pa	substantial cause; object appropriated; that which is appropriated{N}	
nye bar len pa med par	not appropriated	
nye bar len pa po	that which appropriates{N}	
nye bar len pa'i phung po lnga	the five appropriated aggregates	
nye bar mkho ba	important points; important	
nye bar rtag pa	spectator	
nye bar rtog pa	realize; examine; investigation	
nye bar sgrub	establish	
nye bar sgrub pa	establish	
nye bar song nas	having gone close to {T}	
nye bar ston pa	instruction; advice; prescription	
nye bar zhi	pacify	
nye bar zhi ba	pacify	
nye bar zhi bar byed pa	thorough pacifying	
nye bar zhi byed	thorough pacifying	
nye gyur na	become intimate; become dear	
nye lam	short path; quick path	
nye nyon	secondary afflictions	
nye nyon nyi shu	the twenty secondary afflictions	
nye ring	near and distant	
nye'o	near; very near	
nyen	to be pained	
nyer 'bras	substantial effect	
nyer 'tsho	livelihood; sustenance	
nyer bsdogs	preparation	
nyer bsdogs dang dngos gzhi'i ting nge 'dzin dang ldan pa	possessing the meditative stablization of the preparations and actual	
nyer bsgrubs	establish; establishment	
nyer bzhag	establishment	
nyer len	substantial cause; object appropriated; appropriated	
nyer len byas nas 'byung ba	... arises through ... acting as a cause	
nyer len gyi phung po	appropriated aggregates	
nyer len gyi rgyu	substantial cause	
nyer mkho	important points; important	
nyer sbas	Upagupta (p.n.)	
nyer thob	near attainment; near-attainment	
nyer thob nag lam pa'i sems	the mind of radiant black near-attainment	
nyes	to be hurt; to be bad; to make a mistake | bad; sin; evil; crime	
nyes byas	misdeed	
nyes can	[crime-possessing]; criminal; evil one; having fault	
nyes dmigs	fault	
nyes dmigs pa	fault	
nyes pa	moral fault; evil, offence, bad deed; calamity | fault; fallacy; evil; crime; bad; sin; deficiency; problematic; humor	
nyes pa brgyad	eight faults	
nyes pa byed pa	to do evil	
nyes pa dang ldan pa la yon tan dang ldan pa nyid du 'dzin pa	conceiving that which has faults as something with qualities {T}	
nyes pa dang skyon	faults and defects	
nyes pa gsum	three faults	
nyes pa lci ba	the heavier fault	
nyes pa med	faultless	
nyes pa med pa nyid	faultlessness	
nyes pa mthong ba	viewing faults	
nyes pa rnyams gdul bar bya ba	discipline the faults	
nyes pa yongs su spang ba	thorough abandonment of faults	
nyes pa; nyes dmigs	fault	
nyes skyon	faults and defects	
nyes tshogs	collection of faults	
nyi dkyil	solar disc	
nyi khri chig stong drug brgya	216,000	
nyi ma	sun | sun; day; sunday	
nyi ma 'od zer	sunlight{D1}	
nyi ma sbas pa	Ravigupta	
nyi ma'i 'od ser	sunlight	
nyi ma'i 'od zer	sunlight	
nyi ma'i dkyil 'khor	sun-maṇḍala; sun-disc	
nyi ma'i gnyen	The Sun Friend; a name for Buddha Śākyamuni	
nyi shu	twenty	
nyi shu pa	Vasubandhu's The Twenty (viṃśatikā)	
nyi shu rtsa bdun	twenty-seven	
nyi shu rtsa gnyis	twenty-two	
nyi tshe	a little; tiny; partial; trifling	
nyi tshe ba	a little; tiny; partial; trifling	
nyi tshe ba'i dmyal ba	trifling hell	
nyi tshe ba'i mngon sum	partial direct perception; trifling direct perception	
nyi tshe ba'i stong pa	a partial emptiness{MSI 425.6}	
nyi tshe ba'i ye shes	partial wisdom; trifling wisdom	
nyi tshe'i dmyal ba	lesser hell-being	
nyi; khri; lnga; stong; pa; dang; khri; brgyad; stong; pa'i; rgya; cher; bshad; pa/	Conquest Over Objections; Damṣṭasena's [Commentary on] the Three	
nyid	the very same; self; alone | only; itself; just; particle abstracting a noun; -ness	
nyid du	as such | self; same	
nyid las	self; same; I	
nyil le	dangling	
nyin	day	
nyin gcig	one day	
nyin mo	sun; day	
nyin mtshan	`	
nyin mtshan du lan drug tu	six times during the day and night {T}	
nyin par	during the day | in the day; during the day	
nyin par zas mi za ba'i lhas byin tshon po rid pa ma yin pa	the non-thin Devadatta who does not eat during the day	
nyin re bzhin	[day-each-like]; daily; every day; sun; day	
nyin re la'ang	even in each day; sun; day	
nying mtshams	gap between lives	
nying mtshams sbyor ba	briding the gap between lives	
nyis shad	double shad	
nyo	to buy | sell; to buy	
nyo tshong sogs la 'bad pa	striving at selling and buying{LWT 233}	
nyol	lie down; sleep	
nyon	to listen, to hear | affliction	
nyon cig	listen [imperative]	
nyon mong can	afflicted	
nyon mongs	affliction; afflictive emotions	
nyon mongs can	afflicted; {T} afflictive	
nyon mongs can gyi ma rig pa	afflictive ignorance{N}	
nyon mongs can gyi yid	afflicted intellect	
nyon mongs can ma yin pa'i ma rig pa	nonafflictive ignorance	
nyon mongs can min	non-afflicted	
nyon mongs gsal ba	clarify the afflictions	
nyon mongs kyi bag chags	predispositions/latencies of the afflictions/afflictive emotions	
nyon mongs kyi sgrib pa	afflictive obstruction	
nyon mongs lhan skyes	innate afflictions; innate afflictive emotion	
nyon mongs ma mchis	unafflicted	
nyon mongs ma yin mi mongs min	neither afflicted nor non-afflicted	
nyon mongs med pa	unafflicted; non-afflicted	
nyon mongs med par 'khor	circling in non-affliction	
nyon mongs med yan lag	limbs of non-affliction	
nyon mongs mtshan nyid rnam dgu	the nine aspects of the afflicted character	
nyon mongs pa	misery, trouble | afflicted; affliction	
nyon mongs pa 'dul ba	discipline the afflictions	
nyon mongs pa 'dul ba la rab tu brtson pa	apply oneself to disciplining the afflictions	
nyon mongs pa bskyed pa	production of afflictions	
nyon mongs pa can	afflicted	
nyon mongs pa can gyi yid	afflicted mind	
nyon mongs pa can ma yin pa'i mi shes pa	non-afflicted ignorance	
nyon mongs pa dang bcas pa	afflicted	
nyon mongs pa dang bral ba	free from afflictions	
nyon mongs pa dang dag pa'i gnas	a place that if purified of afflictions	
nyon mongs pa dang las dang skye ba	affliction, action, and production	
nyon mongs pa dang mthun pa'i chos	phenomena concordant with affliction	
nyon mongs pa dang shes bya'i sgrib pa	afflictive obstructions and obstructions to omniscience	
nyon mongs pa las rnam dag	free from the afflictions	
nyon mongs pa las rnam par grol ba	completely freed from the afflictions	
nyon mongs pa mang ba	many afflictions	
nyon mongs pa med pa	unafflicted	
nyon mongs pa med par gnas pa	one who abides without afflictions	
nyon mongs pa ni rnam par rtog pa yin	ideational afflictions	
nyon mongs pa rnams kyi gnyen po	antidotes to the afflictions	
nyon mongs pa skye ba'i rkyen tsam	mere condition of the production of afflictions	
nyon mongs pa spangs pa	abandon the afflictions	
nyon mongs pa spong ba	abandon the afflictions	
nyon mongs pa thams cad du bral ba	free from all afflictions; {T} everywhere free from afflictions	
nyon mongs pa'i bag la nyal dang bag chags	dormancies and predispositions of the afflictions/afflictive emotions	
nyon mongs pa'i dri ma med pa'i gnas	a place that is without the stains of the afflictions	
nyon mongs pa'i gnas ngan len gyis rab tu bskyed pa	thoroughly produced by assumption of bad afflicted states	
nyon mongs pa'i gnyen po mdzad pa	act as an antidote to the afflictions	
nyon mongs pa'i gnyen po nyid	antidote to the afflictions	
nyon mongs pa'i kun nas nyon mongs pa	thoroughly afflicted by the afflictions	
nyon mongs pa'i med pa	unafflicted; without afflictions	
nyon mongs pa'i nad rab tu zhi bar byed pa	thorough pacification of the sickness of the afflictions	
nyon mongs pa'i rgyu yin pa'i phyir	because of being the cause of the afflictions	
nyon mongs pa'i sgrib pa	afflictive obstructions; obstructions to liberation	
nyon mongs pa'i sgrib pa rnam pa dgu	nine aspects of the afflictive obstructions	
nyon mongs pa'i zag pa	afflicted contaminations	
nyon mongs pa'i zag pa dang bcas pa	contaminated phenomena of the afflictions{Lati}	
nyon mongs par byed pa	afflict	
nyon mongs par snang ba	appearance of the afflictions	
nyon mongs rags pa mngon gyur ba	manifest coarse affliction	
nyon mongs rnam dag pa'i gnas	basis for purifying the afflictions	
nyon mongs rnam par sbyong ba'i las dang po ba'i yid byed	mental contemplation of a beginner at purifying afflictions/afflictive	
nyon mongs rnam par sbyong ba'i las dang po pa	beginner at purifying afflictions/afflictive emotions	
nyon mongs rnam par sbyong ba'i las dang po pa'i yid byed	mental contemplation of a beginner at purifying afflictions/afflictive	
nyon mongs rnam par sbyong ba'i rnal 'byor pa	yogi who is purifying afflictions/afflictive emotions	
nyon mongs rnam sbyang gi dmigs pa	objects for purifying afflictions	
nyon mongs rnam sbyong gi dmigs pa	object of observation for purifying afflictions/afflictive emotions	
nyon mongs rtog pa spong	abandon afflictive thought {T}	
nyon mongs shes bya'i sgrib pa	afflictive obstructions and obstructions to omniscience	
nyon mongs tshogs	collection of afflictions	
nyon mongs zad pa	extinguish the afflictions	
nyon sgrib	afflictive obstructions; obstructions to liberation; obstruction to	
nyon sgrib kun btags	the artificial afflictive obstructions; {T} acquired afflictive	
nyon sgrib spangs pa'i cha nas bzhag pa'i mkhyen pa	an exalted knower that is posited from the viewpoint of abandoning the	
nyon sgrib spangs pa'i ye shes	exalted wisdom that has abandonned the afflictive obstructions	
nyon sgrib; nyon mongs pa'i sgrib pa	afflictive obstruction	
nyon yid	afflicted mind	
nyos	to buy	
nyung	to be few | little; few	
nyung ba	little; few	
nyung ba dang ches nyung ba	little and very little	
nyung ma	turnip	
nyung ngu	few; little	
nyung ngu nyung ngus	little by little	
nyung ngus tshig gis	with a few words	
nyung nyung	few; a few	
nyung shes shig	very few	
pa	they [i.e., imputational natures] are only posited by names and | knowledge of the various aspects of virtuous and non-virtuous paths of | a thought that, from the viewpoint of having come under the influence | enter into all aspects with respect to the characteristics that are taught | father	
pa gu	brick	
pa lags	father {hon.}	
pa mngon rtogs	a Hearer clear realizer of truth which is a path of release that abandons	
pa nyid gzugs so/	form is not other than emptiness; form is emptiness; and emptiness is	
pa pha	father	
pa sangs	friday	
pa'i blo ngang gi skyed nus pa'i chos	"phenomena naturally able to produce an awareness thinking, """"This"	
pa'i dbang mngon	sense direct perception in the continuum of a person—who has not	
pa'i gsar du mi slu ba'i rig pa	new incontrovertible knower that is unable to induce such	
pa'i mdo'i rgya cher 'grel pa	"Chinese Great Commentary; Extensive Commentary on the """"Sūtra"	
pa'i rgyan gyi snang ba	"Illumination of [Maitreya's] """"Ornament for Clear Realization"""", an"	
paN chen bsod nams brags pa	Paṇ-chen Sö-nam-drak-ba; [1478-1554]; textbook author for the Lo-seling	
paN zhe	[paṇḍita-hat]; scholar's hat	
paN zhwa	[paṇḍita-hat]; scholar's hat	
pad	lotus	
pad ma	lotus | lotus [specifically nelumbium speciosum or nymphaea alba]	
pad ma'i ra ga	ruby	
pad mo	lotus	
pad+ma	lotus [specifically nelumbium speciosum or nymphaea alba]; ruby | lotus [transliteration of the Sanskrit word, padma]	
pad+ma dkar po	Padma-g#ar-b#o (1527-1592), a G#a-gyu (bka' rgyud) scholar	
pad+ma ral	ruby	
pad+ma'i ngang tshul	[The one who is] the nature of the Lotus (Kamalashīla)	
pags pa	skin	
pags pa; lus	skin; body	
pang	lap	
par 'jug pa	enter into the teaching of the complete perfect enlightenment and the	
par bya	[future tense marker]	
par byas	[past tense marker—auxilliary verb]	
par byed	[present tense marker—auxilliary verb]	
pha	father | far; father	
pha dang 'dra ba	like [one's] father	
pha gcig ma gcig	siblings from same parents	
pha gi	that	
pha gir	there; over there	
pha kyi mtshan	sign of a person; sign of a man	
pha ma	parents; father and mother	
pha ma gcig	siblings from same parents	
pha ma*	parents	father and mother
pha ming	father and brother(s)	
pha mthar son nas	having gone to the far end{LWT 6.2}	
pha pa	other; next	
pha rol	the other; the outside; beyond | other(s); next; the other side	
pha rol 'gro	go to the other side	
pha rol 'gro ba	go to the other side	
pha rol gyi	other; of the other {T}	
pha rol gyi 'gram	the other shore {T}	
pha rol gyi cha	far part	
pha rol gyi dad pa'i phyir mi 'brang ba	damage by others; {T} not following because of faith in the others ?	
pha rol gyi gnod pa	damage by others	
pha rol gyi sdug bsngal	suffering of others	
pha rol gyi sems kyi spyod pa shes pa	cognition of the minds and actions of others	
pha rol gyis khong du chud par	as understood by others	
pha rol ma mchis pa'i pha rol tu phyin pa	perfection which is a non-perfection; perfection of a non-perfection	
pha rol na	beyond	
pha rol phyin	perfection	
pha rol phyin bcu'i rgyus byung ba	arise due to the ten perfections	
pha rol phyin la 'jug pa	engage in the perfections; enter into the perfections	
pha rol phyin pa	perfect; perfection	
pha rol tu	otherwise; {T} to the other side	
pha rol tu 'gro bar 'dod pa	desire to go to the other side	
pha rol tu 'gro'o	go to the other side	
pha rol tu phyin	perfect	
pha rol tu phyin pa	[other side-to-went]; perfection; that which has gone beyond	
pha rol tu phyin pa 'phel ba	increase of the perfections	
pha rol tu phyin pa bcu bsgrub pa	the ten perfections	
pha rol tu phyin pa dang ldan pa	connected with the perfections; having the perfections	
pha rol tu phyin pa dang mthun pa	concordant with the perfections; concordance with the perfections	
pha rol tu phyin pa drug	the six perfections	
pha rol tu phyin pa drug gi spyod pa spyad pa yin pa	practice the six perfections for a long time	
pha rol tu phyin pa drug pa	the six perfections; {T} the sixth perfection [i.e., wisdom]	
pha rol tu phyin pa drug po	the sixth perfection [i.e. the perfection of wisdom]; {T} all six	
pha rol tu phyin pa drug yongs su rdzogs pa	thoroughly complete/fulfill the six perfections	
pha rol tu phyin pa gsum po sbyin pa dang tshul khrims dang bzod pa dag	the three perfections of giving, ethics, and	
pha rol tu phyin pa la sgom pa	meditation on the perfections	
pha rol tu phyin pa la sogs pa dge ba	virtues, the perfections and so forth	
pha rol tu phyin pa mngon par sgrub pa'i snying rje	the perfection of manifestly established compassion; compassion that	
pha rol tu phyin pa nges pa'i sa la gnas pa 'thob pa	attain abiding in the ground of definite perfection	
pha rol tu phyin pa phyin ci ma log par 'doms pa	advice regarding non-mistaken [cultivation of] the perfections	
pha rol tu phyin pa rab tu dbye ba'i bsdu ba	collection which divides the perfections	
pha rol tu phyin pa rnams kyi rigs	the lineage of those [who have] the perfections	
pha rol tu phyin pa rnams kyi rten du gyur pa byang chub kyi sems	the mind of enlightenment that is based upon the perfections	
pha rol tu phyin pa rnams la ... sems mnyam pa nyid	sameness of mind with respect to the perfections	
pha rol tu phyin pa rnams la sgrub pa'i 'dun pa	aspiration for completion with respect to the perfections	
pha rol tu phyin pa sbyin pa dang tshul khrims dang bzod pa dag	perfections of giving, ethics, and	
pha rol tu phyin pa sgom pa	cultivate perfection; meditation on the perfections	
pha rol tu phyin pa sgrub pa	achieve the perfections	
pha rol tu phyin pa ston pa	teach the perfections; teaching concerning the perfections	
pha rol tu phyin pa thob pa'i rtags	the sign of attaining the perfections	
pha rol tu phyin pa yang dag par len du 'jug pa	thorough engagement in the perfections	
pha rol tu phyin pa yang dag par spyod pa	thorough practice of the perfections	
pha rol tu phyin pa yongs su rdzogs pa	thoroughly complete/fulfill the perfections	
pha rol tu phyin pa yongs su rdzogs par bya ba	thoroughly complete/fulfill the six perfections	
pha rol tu phyin pa yongs su sgrub pa	thorough establishment of the perfections	
pha rol tu phyin pa'i bslab pa thams cad kyi pha rol tu phyin pa	perfection of all learners; perfection of all learning	
pha rol tu phyin pa'i ngo bo nyid	entityness of the perfections	
pha rol tu phyin pa'i rang bzhing gyi dge ba	virtue of the nature of the perfections	
pha rol tu phyin pa'i skabs	the occasion of the perfection	
pha rol tu phyin pa'i spyod pa	practice of the perfections	
pha rol tu phyin pa; phar phyin	perfection	
pha rol tu phyin par	perfect; perfectly	
pha rol tu song bas na	because of going to the other side	
pha shul	patrimony	
pha tsho	those	
phab par gyur pa	possession [by demons]	
phag	concealment; swine	
phag pa	pig	
phag rgod	wild boar	
phag tu	secretly	
phal chen pa	Mahāsāṃghika	
phal chen sde	Mahāsāṃghika	
phal chen sde pa	Majority School	
phal cher	mostly; usually; many	
phal cher ba	most	
phal pa	ordinary	
pham pa	conquered; defeated {T}	
phan	benefit; to be useful/beneficial | help; benefit; be of use	
phan 'dogs	to benefit; help; administer help	
phan 'dogs 'dod	desire to help	
phan 'dogs bdag nyid	benefit oneself	
phan 'dogs bya	object assisted{D2}	
phan 'dogs byed	assister{D2}; helper	
phan 'dogs byed la 'jug	engage as an assister {T}	
phan 'dogs pa	administer help; do benefit; help	
phan 'dogs par 'gyur ba	administer help; do benefit; help	
phan 'dogs par 'gyur ba yin no	administer help; do benefit; help	
phan 'dogs par byed pa	benefitter; helper	
phan 'dogs rnam pa gnyis	two kinds of help	
phan bde	happiness	
phan bde byed pa 'bras bu	result of causing benefit and happiness	
phan bde dgongs	thought of benefit and happiness	
phan bde'i rgyu	cause of help/benefit and happiness/bliss	
phan btags	administer help; do benefit; help	
phan bya ba	will benefit; will help; helpful object	
phan byed	helper; benefactor; benefitting; helping	
phan byed blo ldan pa	having a helpful awareness	
phan byed pa	helper; benefactor; benefitting; helping	
phan bzhed	take up the task of helping	
phan bzhed pa	take up the task of helping	
phan chad	from here on	
phan chad du	from here on	
phan dang bde 'dod pa	desire benefit and pleasure	
phan dang snying brtser bcas pa	benevolent and compassionate	
phan dang snying brtser ldan pa	benevolent and compassionate	
phan gdags	administer help; do benefit; help	
phan gdags bya	object assisted{D1}; object helped	
phan gdags pa	administer help; do benefit; help	
phan gdags par bya ba	will help; will do benefit	
phan mdzad	benefit; help; benefactor; helper	
phan pa	benefit; to be beneficial | help; benefit; be of use	
phan pa ... bsam pa	thought of benefit; helpful thought	
phan pa byed pa	benefitter; helper; serve to benefit; help	
phan pa dang bde ba	benefit and happiness	
phan pa dang bde ba la phyin ci ma log pa	non-mistaken with respect to benefit and happiness	
phan pa dang bde ba'i sems	a mind of benefit and help	
phan pa la 'jug	engage in helping	
phan pa rnam pa lnga	five kinds of benefit	
phan pa'i 'du shes	conception of benefit; beneficial conception	
phan pa'i bsam pa	beneficial thought; helpful thought	
phan pa'i dgongs pa	thought of benefit; helpful thought	
phan pa'i dngos nyid	helpful thing	
phan pa'i dngos po	helpful thing	
phan pa'i lhag pa'i bsam pa	unusually beneficial thought; particularly benefical thought; especially	
phan pa'i sems	helpful mind; beneficial mind; benificent mind	
phan pa'i tshig dang ldan pa	has beneficial words	
phan par 'dod pa	helpful wish; desire to help	
phan par bya ba	will help; helpful object	
phan par byed pa	helper; benefactor; helping; benefitting	
phan par byed pa'i thabs	methods that serve to benefit	
phan par dgongs pa	beneficial thought; helpful thought	
phan par sems	helpful mind; beneficial mind	
phan par sems pa	helpful mind; beneficial mind	
phan phyir	for the benefit; in order to benefit	
phan thogs	administer help; do benefit; help	
phan tshul grogs su	mutually compatible	
phan tshun	mutual; mutually{D2}	
phan tshun 'gal ba	contradictories in the sense of mutual exclusion{N}; mutually	
phan tshun brtan pa	interdependent	
phan tshun mi 'khrul pa	mutually ineluctable{BJ 74.4}	
phan tshun mi mthun	mutually discordant	
phan tshun rten brten	mutually support and supported{BJ 62.3}	
phan tshun rten pa	mutual dependence; interdependence	
phan tshun spang 'gal	contradictory in the sense of mutual exclusion; mutually exclusive	
phan tshun spangs 'gal	mutually exclusive; contradictories	
phan tshun tha dad	mutually different	
phan tshun tshogs pa dang mi mthun pa 'gyur	mutual discordance	
phan yon	benefit{N}	
phan yon che ba	great benefit	
phan yon gyi yan lag	branch that is a benefit	
phangs	loss; to regret	
phangs med	abundant	
phangs sems	regret	
phar	out there{BJ 54.7}	
phar 'gro tshur 'gro	go from nearby to far away	
phar phyin	perfection	
phar phyin drug	[beyond-gone-six]; the six perfections	
phar phyin drug po	[beyond-gone-six]; the six Perfections	
phar phyin gyi theg pa	Perfection Vehicle	
phar phyin theg pa	Perfection Vehicle	
phas kyi rgol ba	arguments by others	
phebs	go [past tense stem, 'to go', 'come') (hon.)	
phed pa	change; changing	
phen byed kyi las	impelling action	
pher	to be able to bear	
pho	male | person; man	
pho brang	palace | palace; mansion	
pho dang mo'i dbang po	lord of women and men	
pho mo	male and female	
pho mo snyoms par 'jug pa'i tshe	at the time of absorption of male and female	
pho nor	man's goods	
pho nya	messenger	
phog	to give; to hit | strike; affect; touch; give; to bestow; salary	
phog pa	strike; affect; touch; give; to bestow; salary	
phogs	strike; affect; touch; give; to bestow; salary	
